央视,#genre#
cctv1,http://4330413.xyz:35455/gaoma/cctv1.m3u8
cctv2,http://4330413.xyz:35455/gaoma/cctv2.m3u8
cctv3,http://4330413.xyz:35455/gaoma/cctv3.m3u8
cctv4,http://4330413.xyz:35455/gaoma/cctv4.m3u8
cctv5,http://4330413.xyz:35455/gaoma/cctv5.m3u8
cctv5+,http://4330413.xyz:35455/gaoma/cctv5p.m3u8
cctv6,http://4330413.xyz:35455/gaoma/cctv6.m3u8
cctv7,http://4330413.xyz:35455/gaoma/cctv7.m3u8
cctv8,http://4330413.xyz:35455/gaoma/cctv8.m3u8
cctv9,http://4330413.xyz:35455/gaoma/cctv9.m3u8
cctv10,http://4330413.xyz:35455/gaoma/cctv10.m3u8
cctv11,http://4330413.xyz:35455/gaoma/cctv11.m3u8
cctv12,http://4330413.xyz:35455/gaoma/cctv12.m3u8
cctv13,http://4330413.xyz:35455/gaoma/cctv13.m3u8
cctv14,http://4330413.xyz:35455/gaoma/cctv14.m3u8
cctv15,http://4330413.xyz:35455/gaoma/cctv15.m3u8
cctv16,http://4330413.xyz:35455/gaoma/cctv16.m3u8
cctv17,http://4330413.xyz:35455/gaoma/cctv17.m3u8
