央视,#genre#
cctv1,http://60.220.147.43:808/hls/1/index.m3u8
cctv2,http://60.220.147.43:808/hls/2/index.m3u8
cctv3,http://60.220.147.43:808/hls/3/index.m3u8
cctv4,http://60.220.147.43:808/hls/4/index.m3u8
cctv5,http://60.220.147.43:808/hls/5/index.m3u8
cctv5+,http://60.220.147.43:808/hls/55/index.m3u8
cctv6,http://60.220.147.43:808/hls/6/index.m3u8
cctv7,http://60.220.147.43:808/hls/7/index.m3u8
cctv8,http://60.220.147.43:808/hls/8/index.m3u8
cctv9,http://60.220.147.43:808/hls/9/index.m3u8
cctv10,http://60.220.147.43:808/hls/10/index.m3u8
cctv11,http://60.220.147.43:808/hls/11/index.m3u8
cctv12,http://60.220.147.43:808/hls/12/index.m3u8
cctv13,http://60.220.147.43:808/hls/13/index.m3u8
cctv14,http://60.220.147.43:808/hls/14/index.m3u8
cctv15,http://60.220.147.43:808/hls/15/index.m3u8
CCTV-16,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540?
CCTV-16,http://36.109.213.192:9988/udp/238.125.5.34:5140
CCTV-17农村,http://p.ytelc.com/169l/0/aikan.php?id=cctv17
CHC家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
CHC动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8
CHC影迷电影,http://218.76.32.193:9901/tsfile/live/1019_1.m3u8
CHC影迷电影,http://cg14.hunancatv.cn:9090/live/CHCGQ_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604315487&srchost=172.16.22.158:8060&gid=QTVto%2BZu6pkkcNYy4OxcMg%3D%3D
央视台球,http://171.124.233.194:8082/udp/226.0.2.216:9640
央视台球,http://61.55.46.35:4022/rtp/239.253.93.231:6409
央视台球,http://113.240.138.118:8888/udp/239.76.254.58:9000
央视台球,http://61.190.129.195:8686/rtp/238.1.79.59:4608
风云足球,http://61.55.46.35:4022/rtp/239.253.93.254:6432
风云足球,http://121.29.111.242:8888/rtp/239.253.93.254:6432
风云足球,http://124.112.202.94:18888/rtp/238.1.79.57:4592
