央视,#genre#
CCTV-1综合,http://p.ytelc.com/169l/0/aikan.php?id=cctv1
CCTV-2财经,http://p.ytelc.com/169l/0/aikan.php?id=cctv2
CCTV-3综艺,http://p.ytelc.com/169l/0/aikan..php?id=cctv3
CCTV-4国际,http://p.ytelc.com/169l/0/aikan.php?id=cctv4
CCTV-5体育,http://p.ytelc.com/169l/0/aikan.php?id=cctv5
CCTV-5+,http://p.ytelc.com/169l/0/aikan.php?id=cctv5plus
CCTV-6电影,http://p.ytelc.com/169l/0/aikan.php?id=cctv6
CCTV-7军事,http://p.ytelc.com/169l/0/aikan.php?id=cctv7
CCTV-8电视,http://p.ytelc.com/169l/0/aikan.php?id=cctv8
CCTV-9纪录,http://p.ytelc.com/169l/0/aikan.php?id=cctv9
CCTV-10科教,http://p.ytelc.com/169l/0/aikan.php?id=cctv10
CCTV-11戏曲,http://p.ytelc.com/169l/0/aikan.php?id=cctv11
CCTV-12社法,http://p.ytelc.com/169l/0/aikan.php?id=cctv12
CCTV-13新闻,http://p.ytelc.com/169l/0/aikan.php?id=cctv13
CCTV-14少儿,http://p.ytelc.com/169l/0/aikan.php?id=cctv14
CCTV-15音乐,http://p.ytelc.com/169l/0/aikan.php?id=cctv15
CCTV-16,http://36.109.213.192:9988/udp/238.125.5.34:5140
CCTV-17农村,http://p.ytelc.com/169l/0/aikan.php?id=cctv17
CHC家庭影院,http://p.ytelc.com/169l/0/aikan.php?id=chcjt
CHC动作电影,http://p.ytelc.com/169l/0/aikan.php?id=chcdz
央视台球,http://175.11.70.200:8888/udp/239.76.254.58:9000
央视台球,http://121.29.111.242:8888/rtp/239.253.93.231:6409
央视台球,http://222.169.41.210:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
央视台球,http://124.112.202.94:18888/rtp/238.1.79.59:4608
风云足球,http://175.11.70.200:8888/udp/239.76.254.52:9000
风云足球,http://61.55.46.35:4022/rtp/239.253.93.254:6432
风云足球,http://121.29.111.242:8888/rtp/239.253.93.254:6432
风云足球,http://124.112.202.94:18888/rtp/238.1.79.57:4592

央视2,#genre#
CCTV1,http://180.188.45.80:1665/migu.php?id=cctv1
CCTV2,http://180.188.45.80:1665/migu.php?id=cctv2
CCTV3,http://180.188.45.80:1665/migu.php?id=cctv3
CCTV4,http://180.188.45.80:1665/migu.php?id=cctv4
CCTV4欧洲,http://180.188.45.80:1665/migu.php?id=cctv4o
CCTV4美洲,http://180.188.45.80:1665/migu.php?id=cctv4a
CCTV5,http://180.188.45.80:1665/migu.php?id=cctv5
CCTV5+,http://180.188.45.80:1665/migu.php?id=cctv5p
CCTV6,http://180.188.45.80:1665/migu.php?id=cctv6
CCTV7,http://180.188.45.80:1665/migu.php?id=cctv7
CCTV8,http://180.188.45.80:1665/migu.php?id=cctv8
CCTV9,http://180.188.45.80:1665/migu.php?id=cctv9
CCTV10,http://180.188.45.80:1665/migu.php?id=cctv10
CCTV11,http://180.188.45.80:1665/migu.php?id=cctv11
CCTV12,http://180.188.45.80:1665/migu.php?id=cctv12
CCTV13,http://180.188.45.80:1665/migu.php?id=cctv13
CCTV14,http://180.188.45.80:1665/migu.php?id=cctv14
CCTV15,http://180.188.45.80:1665/migu.php?id=cctv15
CCTV17,http://180.188.45.80:1665/migu.php?id=cctv17
中央新影-发现之旅,http://180.188.45.80:1665/migu.php?id=fxzl
中央新影-老故事,http://180.188.45.80:1665/migu.php?id=lgs
中央新影-中学生,http://180.188.45.80:1665/migu.php?id=zxs
CGTN纪录,http://180.188.45.80:1665/migu.php?id=cgtnjl
CGTN西语,http://180.188.45.80:1665/migu.php?id=cgtne
CGTN阿语,http://180.188.45.80:1665/migu.php?id=cgtna
CGTN法语,http://180.188.45.80:1665/migu.php?id=cgtnf
CGTN俄语,http://180.188.45.80:1665/migu.php?id=cgtnr
CHC家庭影院,http://180.188.45.80:1665/migu.php?id=chcjt
CHC动作电影,http://180.188.45.80:1665/migu.php?id=chcdz
东方卫视,http://180.188.45.80:1665/migu.php?id=dfws
吉林卫视,http://180.188.45.80:1665/migu.php?id=jlws
青海卫视,http://180.188.45.80:1665/migu.php?id=qhws
陕西卫视,http://180.188.45.80:1665/migu.php?id=sxws
湖北卫视,http://180.188.45.80:1665/migu.php?id=hubws
江西卫视,http://180.188.45.80:1665/migu.php?id=jxws
江苏卫视,http://180.188.45.80:1665/migu.php?id=jsws
广东卫视,http://180.188.45.80:1665/migu.php?id=gdws
大湾区卫视,http://180.188.45.80:1665/migu.php?id=dwqws
海南卫视,http://180.188.45.80:1665/migu.php?id=hinws
重庆卫视,http://180.188.45.80:1665/migu.php?id=cqws
辽宁卫视,http://180.188.45.80:1665/migu.php?id=lnws
内蒙古卫视,http://180.188.45.80:1665/migu.php?id=nmws
宁夏卫视,http://180.188.45.80:1665/migu.php?id=nxws
甘肃卫视,http://180.188.45.80:1665/migu.php?id=gsws
山东卫视,http://180.188.45.80:1665/migu.php?id=sdws
湖南卫视,http://180.188.45.80:1665/migu.php?id=hunws
四川卫视,http://180.188.45.80:1665/migu.php?id=scws
新疆卫视,http://180.188.45.80:1665/migu.php?id=xjws
西藏卫视,http://180.188.45.80:1665/migu.php?id=xzws
四海钓鱼,http://180.188.45.80:1665/migu.php?id=shdy
江苏教育,http://180.188.45.80:1665/migu.php?id=jsjy
山东教育,http://180.188.45.80:1665/migu.php?id=sdjy
游戏风云,http://180.188.45.80:1665/migu.php?id=yxfy
欢笑剧场,http://180.188.45.80:1665/migu.php?id=hxjc
之江纪录,http://180.188.45.80:1665/migu.php?id=zjjl
杭州综合,http://180.188.45.80:1665/migu.php?id=hzzh
